speaker,predicted_group,azimuth,elevation
11,0 (Angry),35.67018930942297,3.572639645621697
11,1 (Happy),33.30820698447566,13.304052064689989
11,3 (Sad),-137.39774033635874,-24.71057827653505
11,2 (Surprise),31.86604268203017,10.321043714163856
12,0 (Angry),36.438579350924726,-5.371022289181606
12,4 (Happy),33.928620180808636,33.87584837564479
12,1 (Sad),-136.7781010016791,-17.94018448485252
12,3 (Surprise),31.92322764758382,10.691751427752001
14,1 (Angry),36.668103549449484,0.6462173635345967
14,0 (Happy),37.290084688819675,16.80101485713474
14,3 (Sad),-138.30140102645836,-11.716121619845959
14,2 (Surprise),32.82888370900023,16.63924668011601
15,3 (Angry),36.751057227707605,-8.563435301229463
15,1 (Happy),34.16244681331725,33.90247421141306
15,2 (Sad),-138.95021298972426,-18.63864307649603
15,0 (Surprise),31.97288697289271,10.519779788735365
16,4 (Angry),41.72869438360416,-15.570364552754208
16,0 (Happy),14.204689429995991,54.80198533396222
16,2 (Sad),-143.50172805841504,-11.227706313762328
16,3 (Surprise),27.288487330227824,18.429791331599162
17,3 (Angry),33.449285391211816,4.516212526632594
17,1 (Happy),27.39285187967904,37.04397259791664
17,4 (Sad),-139.4409960010453,-15.86076963111495
17,2 (Surprise),30.724381039274224,26.984403483142447
18,3 (Angry),38.17249467875444,-12.883325531311046
18,0 (Happy),25.726389744186456,38.504420394263114
18,2 (Sad),-130.31363458543336,-25.484054271930862
18,4 (Surprise),29.58290944465711,4.0281267398272895
20,2 (Angry),34.04793986298868,-0.3495768153317396
20,4 (Happy),-84.9713965642619,14.076081663341233
20,1 (Sad),-141.40591444044964,-17.830369253369568
20,0 (Surprise),27.67620468298354,11.896276744198513
